step,loss,elapsed_s
1,132.6199188232422,12.1072359085083
2,56.909942626953125,19.923767805099487
4,60.37531280517578,35.55492830276489
6,35.579383850097656,51.09338045120239
8,61.67094421386719,66.77672863006592
10,35.02378845214844,82.31658911705017
12,31.793701171875,97.9756121635437
14,28.272624969482422,113.5611515045166
16,25.928667068481445,129.2872109413147
18,23.279102325439453,144.84439826011658
20,22.21367073059082,160.4173195362091
22,20.926536560058594,176.01723527908325
24,19.87274169921875,191.68001055717468
