step,loss,elapsed_s
1,132.61990356445312,12.12784481048584
2,56.90924072265625,19.948521852493286
4,60.39331817626953,35.46842432022095
6,35.52235412597656,51.22195529937744
8,50.748924255371094,66.79451847076416
10,50.31407928466797,82.39919471740723
12,32.93113327026367,97.8695559501648
14,26.650146484375,113.35691714286804
16,24.64837646484375,128.90814304351807
18,22.39163589477539,144.55780029296875
20,21.28101348876953,160.14811849594116
22,20.604970932006836,175.8353786468506
24,19.638391494750977,191.4308319091797
