step,loss,elapsed_s
1,132.6199188232422,11.937801122665405
2,73.33576202392578,19.715049266815186
4,42.58112335205078,35.19368267059326
6,29.365936279296875,50.83194375038147
8,141.2198486328125,66.57781052589417
10,13.623710632324219,82.125661611557
12,2.095949649810791,97.88130378723145
14,0.7208025455474854,113.42869544029236
16,0.23925021290779114,129.032133102417
18,0.08972787111997604,144.79459953308105
20,0.058776192367076874,160.44946575164795
22,0.05633711814880371,176.12654829025269
24,0.04815591871738434,191.74767756462097
