step,loss,elapsed_s
1,132.6199188232422,11.982964754104614
2,198520.0625,19.822393894195557
4,513961.53125,35.433343172073364
6,133.02581787109375,51.00901961326599
8,6.07871150970459,66.44851446151733
10,0.11879858374595642,81.92863178253174
12,0.005256653297692537,97.33730340003967
14,0.0007578532095067203,112.6581506729126
16,0.00013224284339230508,128.0626347064972
18,1.6530355424038135e-05,143.34615874290466
20,2.543131586207892e-06,158.74759578704834
22,0.0,174.10947704315186
24,0.0,189.54765558242798
