step,loss,elapsed_s
1,132.61990356445312,11.989348649978638
2,73.33576965332031,19.670275926589966
4,42.58125686645508,35.22752356529236
6,29.363618850708008,50.5889732837677
8,59.659645080566406,65.97914814949036
10,25.706737518310547,81.57521891593933
12,24.546119689941406,96.91958785057068
14,31.424909591674805,112.45055651664734
16,25.60462760925293,127.88280463218689
18,26.25950813293457,143.3937065601349
20,21.69215202331543,158.92137479782104
22,22.022716522216797,174.48652005195618
24,21.481689453125,190.00772666931152
