step,loss,step_time_s,elapsed_s
1,10.412393569946289,36.39218675298616,36.59996256814338
2,6.26389217376709,28.211275056935847,64.81276830099523
3,9.026300430297852,28.29434900614433,93.10858505009674
4,6.866983413696289,28.217173320008442,121.32735882210545
5,4.191621780395508,28.20322324708104,149.53214776609093
6,4.087784767150879,28.29226125194691,177.82602007198147
7,4.440504550933838,28.320332278031856,206.14749619411305
8,5.888118267059326,28.33524056104943,234.4846931521315
9,5.240052700042725,28.23132182797417,262.7177523181308
10,4.762454032897949,28.269512525992468,290.98873559897766
11,4.926369667053223,28.46861818502657,319.458118731156
12,4.538067817687988,28.279698425903916,347.7392503709998
13,5.843829154968262,28.33772531989962,376.0788599869702
14,4.749719142913818,28.071958378190175,404.15234762313776
15,4.143817901611328,28.511635939823464,432.6650247431826
16,4.398845672607422,28.298777078976855,460.96522110304795
17,4.746330738067627,28.206465549999848,489.17322614602745
18,3.8402600288391113,28.29508125805296,517.4693549941294
19,4.800772190093994,28.32051630783826,545.7914590949658
20,4.297574996948242,28.413425726117566,574.2063935811166
21,3.954378128051758,28.304369108984247,602.5124557120726
22,3.855653762817383,28.19579247990623,630.7097143239807
23,3.949136734008789,28.508285709889606,659.2194137279876
24,3.3767738342285156,28.255554185947403,687.4765638930257
25,4.517585277557373,28.531043536029756,716.0090384511277
26,4.622445106506348,27.854601460974663,743.8651762951631
27,4.627801418304443,28.94302323902957,772.8096991470084
28,4.146455764770508,27.67090451507829,800.4822625049856
29,3.9873645305633545,29.137118889950216,829.6209701560438
30,4.456637382507324,28.425406836904585,858.0478977069724
31,4.719273567199707,27.89067493006587,885.9400932341814
32,4.6905975341796875,29.00737249501981,914.9484581060242
33,3.5617916584014893,28.12502497714013,943.0744219331536
34,3.2650017738342285,28.30877001886256,971.3848063920159
35,3.3474912643432617,28.204000459983945,999.5902605550364
36,4.353357315063477,27.806507488014176,1027.398214219138
37,4.0559186935424805,28.837197311921045,1056.2365101519972
38,4.253839492797852,27.958959823008627,1084.1969138400164
39,3.249122381210327,28.380105993011966,1112.578022666974
40,3.344808578491211,28.897936980007216,1141.4769476710353
41,4.526931285858154,28.40080619812943,1169.878705447074
42,3.583662509918213,28.23502713209018,1198.11518779397
43,3.920832872390747,27.978059486020356,1226.0942705541383
44,5.383183479309082,28.471618626033887,1254.5668279861566
45,4.369748115539551,28.57046404480934,1283.1383756841533
46,3.913815498352051,28.526907975086942,1311.6660373830236
47,3.6898443698883057,28.722556572174653,1340.389598564012
48,3.372504949569702,28.566744316834956,1368.9578021899797
49,2.2702510356903076,28.49443579511717,1397.4538893250283
50,3.5424489974975586,28.617519814055413,1426.0727323009633
51,3.631524085998535,28.367458580061793,1454.441792957019
52,3.8128139972686768,28.65837227809243,1483.1010298090987
53,4.187597751617432,28.573605789104477,1511.6763533740304
54,4.174528121948242,28.50280686514452,1540.1808009850793
55,3.132899761199951,28.520860916003585,1568.703286437085
56,4.155474662780762,28.45194239518605,1597.1568780529778
57,3.6448400020599365,28.549591375980526,1625.7079230321106
58,4.266958236694336,28.64375569904223,1654.352874752134
59,3.866842746734619,28.60249673994258,1682.956674791174
60,4.009341239929199,28.56176435900852,1711.5196756520309
61,4.307695388793945,28.520434744888917,1740.04163685604
62,5.0635576248168945,28.550267128972337,1768.5932989721186
63,2.808358669281006,28.57509334408678,1797.169483896112
64,4.301194667816162,28.439500686945394,1825.610636162106
65,4.2216715812683105,28.65203141490929,1854.2641547590028
66,4.13952112197876,28.496608352987096,1882.761902504135
67,3.910350799560547,28.591165471822023,1911.354616385186
68,3.77775239944458,28.505413949955255,1939.8617580961436
69,3.949164390563965,28.52943516196683,1968.3928442560136
70,3.3811545372009277,28.505208601010963,1996.89946577698
71,4.347188949584961,28.59741476504132,2025.4980498689692
72,4.530817985534668,28.695201921043918,2054.194800090976
73,3.2519030570983887,28.524941810872406,2082.7214822520036
74,4.569500923156738,28.668415730120614,2111.3917472080793
75,4.142375469207764,28.486640264978632,2139.8795339250937
76,4.037713527679443,28.571006285957992,2168.4523469081614
77,3.1328701972961426,28.496151599101722,2196.9494631621055
78,4.218486309051514,28.633447469910607,2225.5840746520553
79,3.4884021282196045,28.549677666043863,2254.135575089138
80,2.8828678131103516,28.52889893599786,2282.666184470989
81,4.692632675170898,28.494102761149406,2311.161987388041
82,3.5792577266693115,28.623888910049573,2339.786712310044
83,4.125426292419434,28.609887800877914,2368.3985572401434
84,4.812298774719238,28.547065985156223,2396.94742956711
85,3.842501640319824,28.48234518384561,2425.431449942058
86,3.835236072540283,28.63661896903068,2454.0699066249654
87,4.266827583312988,28.55713395192288,2482.6286376870703
88,3.8968193531036377,28.53388598212041,2511.1640754141845
89,3.385594606399536,28.603789234068245,2539.768908006139
90,2.6212663650512695,28.59761960594915,2568.3680482911877
91,3.2187681198120117,28.52495928108692,2596.894018486142
92,3.9511160850524902,28.62456651008688,2625.5202926560305
93,3.7332067489624023,28.674663682933897,2654.1965135589708
94,2.4276492595672607,28.769885935122147,2682.967184293084
95,3.9414916038513184,28.578069197945297,2711.546778702177
96,5.027395248413086,28.55346821504645,2740.1016841551755
97,4.25955867767334,28.513124925084412,2768.615905251121
98,3.7393088340759277,28.437456832034513,2797.0553036700003
99,3.7092418670654297,28.53820335189812,2825.5951994040515
100,3.7287745475769043,28.55668270215392,2854.1534100270364
