step,loss
1,2.3640220165252686
2,2.4365909099578857
3,2.387788772583008
4,2.385911464691162
5,2.2363879680633545
6,2.2656235694885254
7,2.2543325424194336
8,2.2720999717712402
9,2.1318233013153076
10,2.158531427383423
11,2.1546168327331543
12,2.1604857444763184
13,2.034597873687744
14,2.058535099029541
15,2.046900749206543
16,2.0716652870178223
17,1.9545657634735107
18,1.9721910953521729
19,1.945183277130127
20,1.96407949924469
21,1.853088140487671
22,1.8743008375167847
23,1.8503224849700928
24,1.8839242458343506
25,1.7700127363204956
26,1.7958508729934692
27,1.7681865692138672
28,1.7880955934524536
29,1.6741936206817627
30,1.7078745365142822
31,1.6861443519592285
32,1.7116526365280151
33,1.6053284406661987
34,1.6412124633789062
35,1.619608759880066
36,1.6436269283294678
37,1.5381956100463867
38,1.5684432983398438
39,1.5578360557556152
40,1.5742151737213135
41,1.485529899597168
42,1.5164868831634521
43,1.5077906847000122
44,1.517884612083435
45,1.4427080154418945
46,1.4755700826644897
47,1.4645977020263672
48,1.4741333723068237
49,1.411491870880127
50,1.4420801401138306
51,1.4340758323669434
52,1.444448709487915
53,1.388254165649414
54,1.41759192943573
55,1.4124857187271118
56,1.4248740673065186
57,1.3703393936157227
58,1.399649977684021
59,1.397033452987671
60,1.4098544120788574
