model,method,avg_step_time_ms,throughput_tokens_per_s,final_loss,dp_world_size,pp_size
llama7b,none,4262.782223895192,1441.3121940782169,nan,1,8
llama7b,quant8,4294.592824615538,1430.636209510741,nan,1,8
llama7b,none,4402.386013157666,1395.6068326668928,1.5607020854949951,1,8
llama7b,quant8,4292.52244181931,1431.3262384240381,1.4991786479949951,1,8
