step,loss
1,2.3640220165252686
2,2.4409711360931396
3,2.3891022205352783
4,2.4063329696655273
5,2.2927474975585938
6,2.3492181301116943
7,2.3138866424560547
8,2.34212589263916
9,2.234233856201172
10,2.2711400985717773
11,2.272408962249756
12,2.3088176250457764
13,2.214189291000366
14,2.249642848968506
15,2.2473692893981934
16,2.294118642807007
17,2.202193021774292
18,2.2299060821533203
19,2.2305266857147217
20,2.277740955352783
21,2.2005622386932373
22,2.222438335418701
23,2.222346782684326
24,2.263838529586792
25,2.19820237159729
26,2.213466167449951
27,2.224471092224121
28,2.2557780742645264
29,2.1935436725616455
30,2.208061933517456
31,2.210660934448242
32,2.240614414215088
33,2.1867356300354004
34,2.1992645263671875
35,2.2030606269836426
36,2.2338309288024902
37,2.176490068435669
38,2.1920876502990723
39,2.1980037689208984
40,2.224738597869873
41,2.172982692718506
42,2.1877827644348145
43,2.195749044418335
44,2.2208313941955566
45,2.1685643196105957
46,2.184321880340576
47,2.1939315795898438
48,2.215794563293457
49,2.1649422645568848
50,2.1819887161254883
51,2.1918962001800537
52,2.212364673614502
53,2.1608991622924805
54,2.180035352706909
55,2.1895458698272705
56,2.2105307579040527
57,2.158982753753662
58,2.1778616905212402
59,2.1881613731384277
60,2.2090468406677246
