step,loss
1,2.3640220165252686
2,2.444674015045166
3,2.4031524658203125
4,2.4072787761688232
5,2.3138039112091064
6,2.372140884399414
7,2.3265740871429443
8,2.348165988922119
9,2.2696540355682373
10,2.2969751358032227
11,2.275381565093994
12,2.299105644226074
13,2.2247843742370605
14,2.257828712463379
15,2.2354421615600586
16,2.271329879760742
17,2.1949331760406494
18,2.225443124771118
19,2.2065682411193848
20,2.2429351806640625
21,2.180168628692627
22,2.1914215087890625
23,2.177891731262207
24,2.2150685787200928
25,2.1600654125213623
26,2.169076919555664
27,2.150022029876709
28,2.1883301734924316
29,2.138524293899536
30,2.1453475952148438
31,2.129014492034912
32,2.1623196601867676
33,2.120288610458374
34,2.120875358581543
35,2.108654737472534
36,2.137554883956909
37,2.102632761001587
38,2.1013426780700684
39,2.0910227298736572
40,2.117196559906006
41,2.0850634574890137
42,2.0831544399261475
43,2.0732760429382324
44,2.1008498668670654
45,2.0720911026000977
46,2.069793701171875
47,2.0602216720581055
48,2.0865743160247803
49,2.0599217414855957
50,2.0608630180358887
51,2.052046775817871
52,2.076436996459961
53,2.0523219108581543
54,2.0535049438476562
55,2.0442397594451904
56,2.0706677436828613
57,2.0474047660827637
58,2.0486299991607666
59,2.0393452644348145
60,2.0670275688171387
