step,loss
1,2.3640220165252686
2,2.437936782836914
3,2.3905301094055176
4,2.389817237854004
5,2.2449941635131836
6,2.2914443016052246
7,2.2755327224731445
8,2.292342185974121
9,2.178281545639038
10,2.20387601852417
11,2.2117767333984375
12,2.231457233428955
13,2.121419906616211
14,2.1382460594177246
15,2.144878625869751
16,2.147176742553711
17,2.0496723651885986
18,2.0575881004333496
19,2.0651440620422363
20,2.0813608169555664
21,2.0021278858184814
22,1.99984610080719
23,1.9951045513153076
24,2.0099117755889893
25,1.931657314300537
26,1.9248955249786377
27,1.9234596490859985
28,1.9487278461456299
29,1.8820199966430664
30,1.8759441375732422
31,1.8642916679382324
32,1.8801743984222412
33,1.822063684463501
34,1.8259459733963013
35,1.8222062587738037
36,1.830321192741394
37,1.780500054359436
38,1.7795228958129883
39,1.7770411968231201
40,1.7806658744812012
41,1.7427496910095215
42,1.7402312755584717
43,1.7455670833587646
44,1.739507794380188
45,1.7106430530548096
46,1.7090893983840942
47,1.7190346717834473
48,1.7090058326721191
49,1.6858066320419312
50,1.6845512390136719
51,1.6988892555236816
52,1.688324213027954
53,1.667957067489624
54,1.6636953353881836
55,1.6838182210922241
56,1.6740280389785767
57,1.6533173322677612
58,1.6509044170379639
59,1.6733405590057373
60,1.6631698608398438
