model,method,avg_step_time_ms,throughput_samples_per_s,final_loss,world_size,batch_size,steps,bucket_numel
resnet50,none,246.67776099910648,518.8955805402484,1.4098544120788574,8,16,60,4000000
resnet50,quant8,256.47973603918217,499.0647681438878,1.6631698608398438,8,16,60,4000000
resnet50,topk,244.905361358542,522.6508692580549,2.0670275688171387,8,16,60,4000000
resnet50,powersgd,232.42998471832834,550.7034738014441,2.2090468406677246,8,16,60,4000000
