step,loss
1,10.636964797973633
2,8.062873840332031
3,5.812856674194336
4,6.8819122314453125
5,5.978801727294922
6,5.911473274230957
7,6.326718807220459
8,5.343386650085449
9,5.464866638183594
10,5.608372688293457
11,4.87473201751709
12,4.562068939208984
13,5.591056823730469
14,5.442436695098877
15,5.275857448577881
16,5.883112907409668
17,4.308360576629639
18,4.70289421081543
19,5.123246192932129
20,4.1378889083862305
21,5.058823585510254
22,5.833505630493164
23,5.137743949890137
24,4.412023544311523
25,3.703885078430176
26,4.6431779861450195
27,5.151125907897949
28,4.484084129333496
29,4.929103374481201
30,4.802886962890625
31,5.702032566070557
32,4.449228286743164
33,5.076046943664551
34,4.680391311645508
35,4.421835422515869
36,5.292738914489746
37,4.658839225769043
38,4.883945465087891
39,4.470407485961914
40,3.916369915008545
41,4.955856800079346
42,5.488690376281738
43,4.590246200561523
44,4.891321659088135
45,3.5589101314544678
46,4.280282020568848
47,3.689091444015503
48,5.298653602600098
49,4.6094512939453125
50,4.372156143188477
51,4.4991631507873535
52,4.381503582000732
53,4.603858947753906
54,3.892564535140991
55,4.315955638885498
56,5.205688953399658
57,4.755825996398926
58,4.465268135070801
59,4.543025493621826
60,5.280098915100098
61,4.788337707519531
62,4.507951736450195
63,4.222078800201416
64,4.5918803215026855
65,4.905628681182861
66,3.9884095191955566
67,4.457909107208252
68,4.470188617706299
69,4.220880031585693
70,4.00870418548584
71,4.751346111297607
72,5.004073143005371
73,3.635221242904663
74,4.61594295501709
75,3.7656617164611816
76,4.795836448669434
77,3.606764793395996
78,4.85548734664917
79,3.5667924880981445
80,4.2554521560668945
81,4.526513576507568
82,4.012428283691406
83,4.009204864501953
84,4.017940998077393
85,3.6942989826202393
86,4.429195880889893
87,3.703385591506958
88,3.4430246353149414
89,4.174883842468262
90,4.5210723876953125
91,3.5431294441223145
92,3.9363203048706055
93,4.366554260253906
94,4.281426429748535
95,4.354151725769043
96,3.356661081314087
97,3.6414220333099365
98,3.8651695251464844
99,4.024619102478027
100,4.244540214538574
