step,loss,elapsed_s
1,132.61990356445312,12.181541442871094
2,56.9092903137207,20.162410974502563
4,60.39923095703125,36.240997552871704
6,35.490623474121094,52.203041076660156
8,63.01530838012695,68.18317675590515
10,46.64472198486328,84.43364524841309
12,30.625967025756836,100.34268522262573
14,27.219539642333984,116.24308156967163
16,25.246784210205078,132.0809350013733
18,22.53681182861328,147.93307328224182
20,21.82550048828125,163.85538625717163
22,20.47180938720703,179.8445737361908
24,19.295989990234375,195.94537830352783
