run,step,value
True,101,7.795639991760254
True,102,7.598446846008301
True,103,7.799247741699219
True,104,7.407036781311035
True,105,7.152518272399902
True,106,7.567736625671387
True,107,7.764120101928711
True,108,7.709181308746338
True,109,7.896388053894043
True,110,7.866787910461426
True,111,7.739571571350098
True,112,7.554664611816406
True,113,7.8044304847717285
True,114,7.558653831481934
True,115,7.573111534118652
True,116,7.569126605987549
True,117,7.633801460266113
True,118,7.568092346191406
True,119,7.5819091796875
True,120,7.445801734924316
True,121,7.533552169799805
True,122,7.519406318664551
True,123,7.561089038848877
True,124,7.571557998657227
True,125,7.382111549377441
True,126,7.343605995178223
True,127,7.259974956512451
True,128,7.729224681854248
True,129,6.953098773956299
True,130,6.998377323150635
True,131,7.42693567276001
True,132,7.260593414306641
True,133,7.80445671081543
True,134,7.257466793060303
True,135,7.4400177001953125
True,136,7.188081741333008
True,137,6.564483642578125
True,138,7.180147171020508
True,139,7.681832313537598
True,140,7.637023448944092
True,141,7.82020378112793
True,142,7.741676330566406
True,143,7.987910270690918
True,144,7.957683086395264
True,145,7.838979244232178
True,146,7.9600372314453125
True,147,7.661888122558594
True,148,7.606767654418945
True,149,7.539848327636719
True,150,7.570926189422607
True,151,7.764666557312012
True,152,7.805638313293457
True,153,7.663124084472656
True,154,7.700794696807861
True,155,7.614194869995117
True,156,7.544284343719482
True,157,7.257367134094238
True,158,7.195150375366211
True,159,7.1634111404418945
True,160,7.5373640060424805
True,161,7.640134334564209
True,162,7.764029502868652
True,163,7.8027496337890625
True,164,7.588641166687012
True,165,7.785055160522461
True,166,7.616165637969971
True,167,7.630919456481934
True,168,7.758056640625
True,169,7.635781288146973
True,170,7.635547637939453
True,171,7.447186470031738
True,172,7.662870407104492
True,173,7.5048418045043945
True,174,7.7330522537231445
True,175,7.675301551818848
True,176,7.5615949630737305
True,177,7.582630157470703
True,178,7.432929039001465
True,179,7.483916759490967
True,180,7.7806243896484375
True,181,7.473982334136963
True,182,7.447378158569336
True,183,7.506501197814941
True,184,7.678978443145752
True,185,7.566560745239258
True,186,7.781129837036133
True,187,7.802584648132324
True,188,7.620222091674805
True,189,7.650761604309082
True,190,7.569339275360107
True,191,7.525856018066406
True,192,7.642418384552002
True,193,7.3955769538879395
True,194,7.217694282531738
True,195,7.276933670043945
True,196,7.564486503601074
True,197,7.66622257232666
True,198,7.594260215759277
True,199,7.549912929534912
False,1,11.780664443969727
False,2,22.92200469970703
False,3,17.246994018554688
False,4,13.58523941040039
False,5,15.159149169921875
False,6,13.90603256225586
False,7,12.606085777282715
False,8,11.737419128417969
False,9,11.440753936767578
False,10,10.45311450958252
False,11,10.73110580444336
False,12,10.313133239746094
False,13,9.977422714233398
False,14,9.357210159301758
False,15,9.286971092224121
False,16,9.096624374389648
False,17,8.942731857299805
False,18,8.554978370666504
False,19,9.029306411743164
False,20,8.903046607971191
False,21,8.564499855041504
False,22,8.527410507202148
False,23,8.484773635864258
False,24,8.445890426635742
False,25,8.425432205200195
False,26,8.271866798400879
False,27,8.414908409118652
False,28,8.008841514587402
False,29,8.17144775390625
False,30,8.165606498718262
False,31,8.293231964111328
False,32,8.151577949523926
False,33,8.193349838256836
False,34,8.060422897338867
False,35,8.040837287902832
False,36,7.91975212097168
False,37,7.777779579162598
False,38,7.92589807510376
False,39,7.828507900238037
False,40,8.346946716308594
False,41,8.213468551635742
False,42,7.950247764587402
False,43,8.009237289428711
False,44,8.059398651123047
False,45,8.169595718383789
False,46,8.080490112304688
False,47,8.086938858032227
False,48,7.731631278991699
False,49,7.886358261108398
False,50,7.69822883605957
False,51,7.628807067871094
False,52,7.712272644042969
False,53,7.467331886291504
False,54,7.801224231719971
False,55,8.248895645141602
False,56,8.362113952636719
False,57,8.105587005615234
False,58,8.161687850952148
False,59,8.287710189819336
False,60,8.136041641235352
False,61,8.337432861328125
False,62,7.733742713928223
False,63,8.18314266204834
False,64,8.434894561767578
False,65,7.932896614074707
False,66,7.648272514343262
False,67,8.054274559020996
False,68,8.165937423706055
False,69,7.917904376983643
False,70,8.162878036499023
False,71,8.223665237426758
False,72,8.294686317443848
False,73,8.099699974060059
False,74,7.9212799072265625
False,75,8.161134719848633
False,76,7.947079181671143
False,77,7.680111408233643
False,78,7.455513954162598
False,79,7.561128616333008
False,80,7.733619689941406
False,81,7.950970649719238
False,82,7.994927883148193
False,83,8.150409698486328
False,84,7.6910905838012695
False,85,7.894476890563965
False,86,8.199540138244629
False,87,8.027851104736328
False,88,7.748626232147217
False,89,7.56071662902832
False,90,7.5266900062561035
False,91,7.677027225494385
False,92,7.622272491455078
False,93,7.824916362762451
False,94,7.71908712387085
False,95,7.52650260925293
False,96,7.513755798339844
False,97,7.74729061126709
False,98,8.010732650756836
False,99,7.755834579467773
False,100,7.5403900146484375
False,101,7.738308906555176
False,102,7.5898332595825195
False,103,7.789541244506836
False,104,7.344295501708984
False,105,7.001923084259033
False,106,7.494827747344971
False,107,7.772129058837891
False,108,7.743757247924805
False,109,7.875266075134277
False,110,7.8648529052734375
False,111,7.6999711990356445
False,112,7.529102325439453
False,113,7.763189315795898
False,114,7.473547458648682
False,115,7.479785919189453
False,116,7.386605739593506
False,117,7.469612121582031
False,118,7.372350215911865
False,119,7.562196731567383
False,120,7.346279621124268
False,121,7.442708969116211
False,122,7.465373516082764
False,123,7.412020206451416
False,124,7.470395565032959
False,125,7.268613815307617
False,126,7.190212726593018
False,127,7.183744430541992
False,128,7.615355491638184
False,129,6.803402423858643
False,130,6.749422550201416
False,131,7.3490519523620605
False,132,7.010402202606201
False,133,7.613428115844727
False,134,7.056479454040527
False,135,7.2644500732421875
False,136,6.935086727142334
False,137,6.0668745040893555
False,138,6.967595100402832
False,139,7.686915397644043
False,140,7.622517108917236
False,141,7.796562194824219
False,142,7.749698638916016
False,143,7.9098100662231445
False,144,7.846606254577637
False,145,7.648314952850342
False,146,7.709657192230225
False,147,7.471060752868652
False,148,7.441205024719238
False,149,7.316946029663086
False,150,7.372566223144531
False,151,7.575915336608887
False,152,7.606075286865234
False,153,7.486108779907227
False,154,7.509214878082275
False,155,7.458887577056885
False,156,7.273158073425293
False,157,6.992588043212891
False,158,6.913002014160156
False,159,6.841479301452637
False,160,7.336824417114258
False,161,7.49361515045166
False,162,7.5151777267456055
False,163,7.592591285705566
False,164,7.358205318450928
False,165,7.560114860534668
False,166,7.363815784454346
False,167,7.327933311462402
False,168,7.4582319259643555
False,169,7.3556413650512695
False,170,7.312222480773926
False,171,7.125267505645752
False,172,7.337246894836426
False,173,7.190135955810547
False,174,7.424232482910156
False,175,7.34453821182251
False,176,7.244646072387695
False,177,7.258111953735352
False,178,7.095859527587891
False,179,7.107874393463135
False,180,7.500898361206055
False,181,7.092949867248535
False,182,7.056027889251709
False,183,7.105792045593262
False,184,7.373114585876465
False,185,7.21914005279541
False,186,7.372346878051758
False,187,7.372756004333496
False,188,7.256523132324219
False,189,7.2373762130737305
False,190,7.16375207901001
False,191,7.126440048217773
False,192,7.275332450866699
False,193,6.979336738586426
False,194,6.707866668701172
False,195,6.75430965423584
False,196,7.1607584953308105
False,197,7.25479793548584
False,198,7.3199920654296875
False,199,7.223414897918701
