run,step,value
True,1,12.153276443481445
True,2,11.83392333984375
True,3,11.139863014221191
True,4,11.063507080078125
True,5,11.20732307434082
True,6,11.511747360229492
True,7,11.77985954284668
True,8,10.990388870239258
True,9,11.16978931427002
True,10,10.435766220092773
True,11,10.197920799255371
True,12,10.103708267211914
True,13,10.024850845336914
True,14,9.931733131408691
True,15,9.775440216064453
True,16,9.426149368286133
True,17,9.22035026550293
True,18,9.219002723693848
True,19,9.238384246826172
True,20,9.08720588684082
True,21,8.928251266479492
True,22,8.786832809448242
True,23,8.706196784973145
True,24,8.747098922729492
True,25,8.746575355529785
True,26,8.592094421386719
True,27,8.687213897705078
True,28,8.22458267211914
True,29,8.285630226135254
True,30,8.229557037353516
True,31,8.372785568237305
True,32,8.296941757202148
True,33,8.367570877075195
True,34,8.241907119750977
True,35,8.174081802368164
True,36,8.008903503417969
True,37,7.893980503082275
True,38,7.945350170135498
True,39,7.853169918060303
True,40,8.303133964538574
True,41,8.200567245483398
True,42,7.9354352951049805
True,43,7.884176254272461
True,44,7.990368843078613
True,45,8.100252151489258
True,46,8.006202697753906
True,47,8.045082092285156
True,48,7.647153377532959
True,49,7.870792865753174
True,50,7.713313102722168
True,51,7.675353050231934
True,52,7.80448055267334
True,53,7.6089982986450195
True,54,7.645529270172119
True,55,7.884875297546387
True,56,8.015056610107422
True,57,7.839702606201172
True,58,7.80942964553833
True,59,8.044769287109375
True,60,7.90081262588501
True,61,8.152565002441406
True,62,7.544238567352295
True,63,8.00128173828125
True,64,8.290943145751953
True,65,7.744226932525635
True,66,7.456171989440918
True,67,7.868645191192627
True,68,8.071002006530762
True,69,7.712253570556641
True,70,7.988536357879639
True,71,7.998312950134277
True,72,8.007014274597168
True,73,7.789330005645752
True,74,7.663970947265625
True,75,7.938446044921875
True,76,7.710440635681152
True,77,7.4544172286987305
True,78,7.258784294128418
True,79,7.4374189376831055
True,80,7.533262729644775
True,81,7.690779685974121
True,82,7.880123138427734
True,83,8.006869316101074
True,84,7.541220664978027
True,85,7.735673904418945
True,86,8.129465103149414
True,87,8.036054611206055
True,88,7.759609699249268
True,89,7.539446830749512
True,90,7.503742218017578
True,91,7.7073283195495605
True,92,7.638270854949951
True,93,7.8283915519714355
True,94,7.70692253112793
True,95,7.576460838317871
True,96,7.552462100982666
True,97,7.768969535827637
True,98,8.060640335083008
True,99,7.784836769104004
True,100,7.592568397521973
