model,method,avg_step_time_ms,throughput_tokens_per_s,final_loss,dp_world_size,pp_size
llama7b,none,1787.6122924103402,1145.6622941647845,nan,1,8
llama7b,none,26118.793842941523,313.64388605616443,3.6758947372436523,2,8
llama7b,none,96392.20961997285,84.98612110145658,4.116247177124023,2,8
llama7b,none,15359.100482104113,2666.8228421140393,4.2440185546875,2,8
llama7b,quant8,8478.011112160748,4831.321810990258,4.62989616394043,2,8
llama7b,topk,6920.379647038644,5918.75042831321,4.862545967102051,2,8
