step,loss
1,10.472747802734375
2,7.950603008270264
3,5.777529716491699
4,6.934199333190918
5,6.005407810211182
6,5.964789390563965
7,6.352939605712891
8,5.357997894287109
9,5.4720001220703125
10,5.629111289978027
11,4.9103617668151855
12,4.59132719039917
13,5.634082317352295
14,5.483982086181641
15,5.326314926147461
16,5.946989059448242
17,4.3616461753845215
18,4.780834674835205
19,5.207126617431641
20,4.197412490844727
21,5.153139591217041
22,5.949587821960449
23,5.259233474731445
24,4.5194220542907715
25,3.779287338256836
26,4.775482177734375
27,5.317494869232178
28,4.6112284660339355
29,5.069705009460449
30,4.96259880065918
31,5.9046478271484375
32,4.619331359863281
33,5.2851667404174805
34,4.877532005310059
35,4.616920471191406
36,5.529723167419434
37,4.874608039855957
38,5.124910831451416
39,4.695029258728027
40,4.110534191131592
41,5.239670753479004
42,5.807183742523193
43,4.843823432922363
44,5.179859161376953
45,3.7939813137054443
46,4.547829627990723
47,3.93880558013916
48,5.653787612915039
49,4.913539409637451
50,4.6928911209106445
51,4.793195724487305
52,4.715237617492676
53,4.972949028015137
54,4.1929779052734375
55,4.641181945800781
56,5.631143569946289
57,5.1651763916015625
58,4.827060699462891
59,4.899171829223633
60,5.734793186187744
61,5.191206455230713
62,4.911822319030762
63,4.599419593811035
64,5.019343852996826
65,5.348841190338135
66,4.347082138061523
67,4.88188362121582
68,4.879229545593262
69,4.617048740386963
70,4.371547698974609
71,5.2184953689575195
72,5.490877628326416
73,3.979250192642212
74,5.048567771911621
75,4.120678901672363
76,5.225220203399658
77,3.9508895874023438
78,5.333972930908203
79,3.908280372619629
80,4.666083335876465
81,4.9822492599487305
82,4.420816421508789
83,4.415899276733398
84,4.404107570648193
85,4.031017780303955
86,4.854053020477295
87,4.054384231567383
88,3.7770559787750244
89,4.570039749145508
90,4.9489426612854
91,3.8903422355651855
92,4.320086479187012
93,4.7870001792907715
94,4.65648889541626
95,4.776028633117676
96,3.643127918243408
97,3.994075298309326
98,4.2301506996154785
99,4.390124320983887
100,4.62989616394043
