step,loss
1,10.322721481323242
2,9.750268936157227
3,8.732903480529785
4,8.798432350158691
5,7.960097312927246
6,7.686364650726318
7,7.762332916259766
8,6.832274436950684
9,7.190670967102051
10,6.856348991394043
11,6.194128036499023
12,5.704074382781982
13,6.8397722244262695
14,6.534087181091309
15,6.28938102722168
16,6.7971062660217285
17,5.244750022888184
18,5.414712429046631
19,5.918543815612793
20,4.821231365203857
21,5.790671348571777
22,6.769927024841309
23,5.939814567565918
24,5.081396102905273
25,4.234515190124512
26,5.263242721557617
27,5.862630844116211
28,5.05282735824585
29,5.498525619506836
30,5.358673572540283
31,6.368831634521484
32,4.9821648597717285
33,5.6774091720581055
34,5.2571797370910645
35,4.968249320983887
36,5.924995422363281
37,5.208779335021973
38,5.406861305236816
39,5.027437210083008
40,4.356793403625488
41,5.551153182983398
42,6.089601516723633
43,5.163291931152344
44,5.463118553161621
45,3.980860710144043
46,4.842498779296875
47,4.157088279724121
48,5.936850547790527
49,5.139832496643066
50,4.926419258117676
51,5.055785179138184
52,4.950020790100098
53,5.203306198120117
54,4.450416564941406
55,4.834861755371094
56,5.8681440353393555
57,5.414397239685059
58,5.05109977722168
59,5.172262668609619
60,5.984005451202393
61,5.429996967315674
62,5.114871501922607
63,4.812595367431641
64,5.237638473510742
65,5.595547676086426
66,4.514734745025635
67,5.105877876281738
68,5.102493762969971
69,4.847450256347656
70,4.584859848022461
71,5.451148986816406
72,5.709272861480713
73,4.188268661499023
74,5.283558368682861
75,4.36182975769043
76,5.442875862121582
77,4.150408744812012
78,5.576838493347168
79,4.149018287658691
80,4.8623762130737305
81,5.174402236938477
82,4.6138014793396
83,4.602646827697754
84,4.614752292633057
85,4.226902008056641
86,5.056605815887451
87,4.257397651672363
88,3.9772303104400635
89,4.7689056396484375
90,5.161853790283203
91,4.03516960144043
92,4.517153263092041
93,4.994879722595215
94,4.887503623962402
95,4.9787187576293945
96,3.803243398666382
97,4.174404144287109
98,4.409848213195801
99,4.607304573059082
100,4.862545967102051
