step,loss
1,10.48289680480957
2,7.941661834716797
3,5.773379802703857
4,6.895284652709961
5,5.965947151184082
6,5.889387130737305
7,6.313291072845459
8,5.346647262573242
9,5.448949813842773
10,5.600512504577637
11,4.883847236633301
12,4.558048248291016
13,5.596962928771973
14,5.435997009277344
15,5.262044906616211
16,5.8716511726379395
17,4.308506965637207
18,4.712000846862793
19,5.113693714141846
20,4.1361470222473145
21,5.047137260437012
22,5.837116718292236
23,5.147666931152344
24,4.413954734802246
25,3.678654193878174
26,4.641535758972168
27,5.15241813659668
28,4.481237411499023
29,4.920541763305664
30,4.794011116027832
31,5.695923805236816
32,4.4536027908325195
33,5.078853607177734
34,4.682201385498047
35,4.427640914916992
36,5.306777000427246
37,4.657740592956543
38,4.883742332458496
39,4.467900276184082
40,3.8988256454467773
41,4.959650993347168
42,5.483367443084717
43,4.579639434814453
44,4.890195369720459
45,3.5630974769592285
46,4.283930778503418
47,3.690487861633301
48,5.286909580230713
49,4.608453273773193
50,4.369202136993408
51,4.485220909118652
52,4.38331413269043
53,4.603397846221924
54,3.903864860534668
55,4.306696891784668
56,5.206276893615723
57,4.7780303955078125
58,4.454046249389648
59,4.5395307540893555
60,5.299166679382324
61,4.780026435852051
62,4.520464897155762
63,4.223431587219238
64,4.600044250488281
65,4.904385089874268
66,3.983219623565674
67,4.462833404541016
68,4.4745941162109375
69,4.2169189453125
70,4.007430553436279
71,4.746771812438965
72,5.002035140991211
73,3.632352828979492
74,4.6294169425964355
75,3.772902727127075
76,4.792580604553223
77,3.600261688232422
78,4.857614517211914
79,3.5797173976898193
80,4.257418632507324
81,4.534780979156494
82,4.001974582672119
83,4.017971038818359
84,4.024047374725342
85,3.678591012954712
86,4.417973041534424
87,3.701369047164917
88,3.453298807144165
89,4.1813507080078125
90,4.520357131958008
91,3.535250663757324
92,3.9416580200195312
93,4.362088203430176
94,4.280459403991699
95,4.346836566925049
96,3.3536124229431152
97,3.6395516395568848
98,3.861668109893799
99,4.026930809020996
100,4.2440185546875
