step,loss,elapsed_s
1,132.61993408203125,12.162729501724243
2,92.6230697631836,20.11436176300049
4,50.21220397949219,36.06751012802124
6,37.51310348510742,52.09188365936279
8,28.82833480834961,67.98462700843811
10,31.964710235595703,84.10379195213318
12,24.776348114013672,100.15552735328674
14,28.048133850097656,115.98500227928162
16,22.33364486694336,131.97816801071167
18,23.873062133789062,148.24128532409668
20,21.379467010498047,164.24515223503113
22,22.28165626525879,180.30219340324402
24,19.750816345214844,196.20138955116272
