step,loss,elapsed_s
1,132.6199188232422,6.02148175239563
10,41.4637565612793,24.158876419067383
20,23.891281127929688,43.91801333427429
30,21.348430633544922,64.06228923797607
40,15.93754768371582,83.92895269393921
50,15.443611145019531,104.10856938362122
60,14.10566234588623,123.74074244499207
70,12.172223091125488,143.4287190437317
80,11.197212219238281,163.26263093948364
90,10.744197845458984,183.27953386306763
100,10.693239212036133,203.14586901664734
