step,loss,elapsed_s
1,132.6199188232422,12.186468362808228
2,130.36306762695312,20.20060896873474
4,120.02926635742188,36.20859408378601
6,107.05091094970703,51.94926738739014
8,93.83988952636719,67.90539240837097
10,81.48387908935547,83.8895194530487
12,70.94097900390625,99.61630010604858
14,62.853843688964844,115.69351506233215
16,57.15164566040039,131.7656433582306
18,52.622833251953125,147.70076870918274
20,48.54115295410156,163.68551445007324
22,44.75349807739258,179.65844798088074
24,41.4410400390625,195.5108127593994
