step,loss
1,2.3640220165252686
2,2.436569929122925
3,2.3877923488616943
4,2.3865861892700195
5,2.2403955459594727
6,2.2861905097961426
7,2.25938081741333
8,2.2835686206817627
9,2.1569504737854004
10,2.172177314758301
11,2.164839744567871
12,2.183506965637207
13,2.043607473373413
14,2.066230297088623
15,2.0480878353118896
16,2.063080072402954
17,1.95700204372406
18,1.9742705821990967
19,1.948917031288147
20,1.9599430561065674
21,1.8629348278045654
22,1.8838958740234375
23,1.8459229469299316
24,1.8588274717330933
25,1.7872650623321533
26,1.7991018295288086
27,1.764960765838623
28,1.7755039930343628
29,1.718198299407959
30,1.710129737854004
31,1.6816105842590332
32,1.695648431777954
33,1.6550437211990356
34,1.645396113395691
35,1.6220046281814575
36,1.632737398147583
37,1.5932955741882324
38,1.577087163925171
39,1.5628159046173096
40,1.5761706829071045
41,1.5451133251190186
42,1.5270845890045166
43,1.5168638229370117
44,1.5286839008331299
45,1.4983320236206055
46,1.4855409860610962
47,1.4801855087280273
48,1.4912546873092651
49,1.4660162925720215
50,1.4530062675476074
51,1.4515256881713867
52,1.4650557041168213
53,1.4414527416229248
54,1.4286856651306152
55,1.4302194118499756
56,1.4443895816802979
57,1.4251147508621216
58,1.4117017984390259
59,1.4124722480773926
60,1.4289841651916504
