model,method,avg_step_time_ms,throughput_tokens_per_s,final_loss,dp_world_size,pp_size
llama7b,bitscom,4143.94017804414,1482.6468858196329,nan,1,8
llama7b,bitscom,4145.159807167947,1482.210647072181,1.5225298404693604,1,8
