step,loss
1,2.4339144229888916
2,2.365154266357422
3,2.3540585041046143
4,2.332087516784668
5,2.3246567249298096
6,2.3173727989196777
7,2.2917423248291016
8,2.240398645401001
9,2.187608480453491
10,2.17454195022583
11,2.149433135986328
12,2.1399853229522705
13,2.0797829627990723
14,2.0159521102905273
15,1.9618468284606934
16,1.9296847581863403
17,1.9059638977050781
18,1.8720555305480957
19,1.846314787864685
20,1.8427238464355469
21,1.8316274881362915
22,1.7974843978881836
23,1.7771797180175781
24,1.7361209392547607
25,1.6944358348846436
26,1.6120749711990356
27,1.542717456817627
28,1.4934382438659668
29,1.4100902080535889
30,1.307218313217163
31,1.208803653717041
32,1.1135280132293701
33,1.0066757202148438
34,0.933311939239502
35,0.8411208391189575
36,0.7615373134613037
37,0.6738156080245972
38,0.6021205186843872
39,0.5421868562698364
40,0.47433215379714966
41,0.41704967617988586
42,0.37679004669189453
43,0.34398990869522095
44,0.3101646900177002
45,0.27754104137420654
46,0.24881483614444733
47,0.2263394147157669
48,0.20881307125091553
49,0.195282980799675
50,0.18409425020217896
51,0.17472270131111145
52,0.16643360257148743
53,0.15886898338794708
54,0.15200874209403992
55,0.1458645761013031
56,0.1404370367527008
57,0.13575050234794617
58,0.13173259794712067
59,0.12823177874088287
60,0.125111386179924
