step,loss,elapsed_s
1,132.61990356445312,12.071251630783081
2,73.33577728271484,19.89346671104431
4,42.580726623535156,35.483744621276855
6,29.363027572631836,51.11100745201111
8,138.46270751953125,66.72362351417542
10,12.92735481262207,82.28689074516296
12,2.0320615768432617,97.863778591156
14,0.5008102059364319,113.64871859550476
16,0.2387273907661438,129.32537841796875
18,0.12217266857624054,145.069589138031
20,0.06753220409154892,160.73673343658447
22,0.0434623584151268,176.3666853904724
24,0.028208546340465546,191.97048091888428
