step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size
0,10.863873481750488,13.837290663039312,14.052027505007572,polar,manual,io,full,,,2,8
1,6.967838287353516,7.420428917976096,21.474240220035426,polar,manual,io,full,,,2,8
2,5.232292175292969,7.451843032962643,28.927229956025258,polar,manual,io,full,,,2,8
3,6.268280506134033,7.409230679972097,36.33760436298326,polar,manual,io,full,,,2,8
4,6.077032089233398,7.505603300058283,43.844038638984784,polar,manual,io,full,,,2,8
5,5.6872758865356445,7.45659216796048,51.301408916013315,polar,manual,io,full,,,2,8
6,6.441018104553223,7.401519788079895,58.703809516038746,polar,manual,io,full,,,2,8
7,5.648726940155029,7.426339772995561,66.13107763207518,polar,manual,io,full,,,2,8
8,5.329082489013672,7.452201506006531,73.58428467297927,polar,manual,io,full,,,2,8
9,5.9946465492248535,7.40823298797477,80.99340738507453,polar,manual,io,full,,,2,8
10,5.34885311126709,7.430104686063714,88.42460844898596,polar,manual,io,full,,,2,8
11,5.09763240814209,7.4439832150237635,95.8695891390089,polar,manual,io,full,,,2,8
12,6.326335906982422,7.411006459966302,103.28131470899098,polar,manual,io,full,,,2,8
13,5.9546942710876465,7.431433653924614,110.71346377802547,polar,manual,io,full,,,2,8
14,5.784860610961914,7.4709977110615,118.18536801706068,polar,manual,io,full,,,2,8
15,6.411484718322754,7.426247443072498,125.61241244000848,polar,manual,io,full,,,2,8
16,4.729825019836426,7.4412215679185465,133.0544558550464,polar,manual,io,full,,,2,8
17,4.9470930099487305,7.439631321001798,140.49501631606836,polar,manual,io,full,,,2,8
18,5.372368812561035,7.394178666989319,147.88987080799416,polar,manual,io,full,,,2,8
19,4.298151016235352,7.4345723799197,155.32529560301919,polar,manual,io,full,,,2,8
20,5.249043941497803,7.4550102279754356,162.7812415950466,polar,manual,io,full,,,2,8
21,6.047968864440918,7.422072703950107,170.204313673079,polar,manual,io,full,,,2,8
22,5.33300256729126,7.444317035959102,177.64937383600045,polar,manual,io,full,,,2,8
23,4.524306297302246,7.483569975011051,185.13364479597658,polar,manual,io,full,,,2,8
24,3.7717113494873047,7.402013259008527,192.53653946402483,polar,manual,io,full,,,2,8
25,4.6717729568481445,7.420496701961383,199.95787052402738,polar,manual,io,full,,,2,8
26,5.19287633895874,7.4287923539523035,207.38742794899736,polar,manual,io,full,,,2,8
27,4.438814163208008,7.401924624922685,214.790397866047,polar,manual,io,full,,,2,8
28,4.861631870269775,7.4336125060217455,222.2248019630788,polar,manual,io,full,,,2,8
29,4.808408737182617,7.504190549021587,229.72972682700492,polar,manual,io,full,,,2,8
30,5.732069969177246,7.452180046937428,237.1826251950115,polar,manual,io,full,,,2,8
31,4.429858207702637,7.501932632992975,244.6854082189966,polar,manual,io,full,,,2,8
32,5.138470649719238,7.41046451497823,252.09687234601006,polar,manual,io,full,,,2,8
33,4.671207427978516,7.422915265895426,259.5206489050761,polar,manual,io,full,,,2,8
34,4.419414520263672,7.474544108961709,266.9959875360364,polar,manual,io,full,,,2,8
35,5.297699928283691,7.460022832965478,274.4568087720545,polar,manual,io,full,,,2,8
36,4.613176345825195,7.420413827057928,281.87810088600963,polar,manual,io,full,,,2,8
37,4.842016220092773,7.459054133971222,289.3378828740679,polar,manual,io,full,,,2,8
38,4.4427385330200195,7.447113891015761,296.7858509810176,polar,manual,io,full,,,2,8
39,3.8332061767578125,7.490308773936704,304.2770294940565,polar,manual,io,full,,,2,8
40,4.9366936683654785,7.416113293031231,311.69387014897075,polar,manual,io,full,,,2,8
41,5.42724609375,7.528011527960189,319.22265767201316,polar,manual,io,full,,,2,8
42,4.597067356109619,7.473596699070185,326.69702417508233,polar,manual,io,full,,,2,8
43,4.887837886810303,7.423179451958276,334.12091487506405,polar,manual,io,full,,,2,8
44,3.5810868740081787,7.443162097944878,341.5648143229773,polar,manual,io,full,,,2,8
45,4.278393268585205,7.419869166100398,348.98568248504307,polar,manual,io,full,,,2,8
46,3.6948065757751465,7.430267162970267,356.4166951890802,polar,manual,io,full,,,2,8
47,5.328714847564697,7.43325546302367,363.8510855520144,polar,manual,io,full,,,2,8
48,4.6832404136657715,7.409904561936855,371.2617202050751,polar,manual,io,full,,,2,8
49,4.414668560028076,7.4315613670041785,378.694128726027,polar,manual,io,full,,,2,8
