step,loss,step_time_s,elapsed_s
1,10.519752502441406,32.833748468896374,33.047662676894106
2,6.102854251861572,29.12436103296932,62.17339437699411
3,8.771646499633789,28.42806348798331,90.60240462294314
4,6.734792709350586,27.77246072900016,118.37608763098251
5,4.180018901824951,29.82606433390174,148.20332195993979
6,4.1400041580200195,27.93485227401834,176.1391539919423
7,4.509737968444824,26.252054331009276,202.39214568096213
8,5.944653511047363,30.914131805067882,233.3076419729041
9,5.221877098083496,27.214508038014174,260.5231416639872
10,4.812015533447266,30.184964985004626,290.7097525289282
11,5.003286361694336,28.68220450601075,319.39307606290095
12,4.607837677001953,28.139796738047153,347.5338831009576
13,5.981036186218262,28.297411628998816,375.83288892998826
14,4.81346321105957,28.804244862985797,404.63855744397733
15,4.17655611038208,28.359735625912435,432.99980791297276
16,4.41710901260376,28.412775930017233,461.4141393849859
17,4.891201019287109,28.2938854660606,489.7091285189381
18,3.9690423011779785,28.52926982496865,518.2393850379158
19,4.858696937561035,27.54594536300283,545.7866262779571
20,4.382555961608887,28.67743124894332,574.4650973730022
21,4.019948959350586,29.208979853079654,603.675140520907
22,3.9327945709228516,28.664250653004274,632.3409309689887
23,3.9995217323303223,28.28343580092769,660.6260123359971
24,3.433744430541992,28.663415887975134,689.2907065158943
25,4.602972030639648,28.712300759973004,718.0042149189394
26,4.711987018585205,28.433256655931473,746.4387162089115
27,4.699545383453369,28.36820878193248,774.8093298989115
28,4.192320346832275,27.95861633005552,802.7708524148911
29,4.049834251403809,28.92762808909174,831.6999171299394
30,4.464962005615234,28.51840743503999,860.2200505979126
31,4.744414806365967,28.25099626998417,888.4733063749736
32,4.7103471755981445,29.247023776057176,917.7219930479769
33,3.635833263397217,27.377230045967735,945.101683506975
34,3.3184738159179688,29.580843035015278,974.6846277388977
35,3.3925538063049316,28.141304454999045,1002.8273688269546
36,4.344120025634766,28.30029821000062,1031.1294302759925
37,4.042628288269043,27.046913302037865,1058.1776875379728
38,4.288959503173828,29.431378365959972,1087.6101933629252
39,3.2925171852111816,28.581259101978503,1116.1927136989543
40,3.399977922439575,28.839838779065758,1145.0338987419382
41,4.590400218963623,28.035980100976303,1173.071170649957
42,3.61916446685791,28.819518184987828,1201.8920689669903
43,4.033019542694092,28.239517213078216,1230.1327755620005
44,5.433054447174072,28.201530470047146,1258.3356683698948
45,4.413005352020264,28.366988673922606,1286.7040409909096
46,3.9768576622009277,28.880932098953053,1315.5862271339865
47,3.6994776725769043,28.418477191007696,1344.0060471548932
48,3.4559988975524902,28.412493409006856,1372.420158148976
49,2.3325514793395996,28.392408497980796,1400.815362463938
