step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size,tp_size
0,10.700231552124023,19.720823387848213,19.939709457103163,polar,manual,io,full,,,2,8,1
1,6.94502067565918,15.353680769912899,35.295354902977124,polar,manual,io,full,,,2,8,1
2,5.255698204040527,15.397653202991933,50.69436686998233,polar,manual,io,full,,,2,8,1
3,6.215706825256348,15.42216361593455,66.11831927206367,polar,manual,io,full,,,2,8,1
4,6.068623065948486,15.340553986141458,81.46079371799715,polar,manual,io,full,,,2,8,1
5,5.667413711547852,15.219372886000201,96.6818128710147,polar,manual,io,full,,,2,8,1
6,6.416205406188965,15.306536696851254,111.99013583105989,polar,manual,io,full,,,2,8,1
7,5.158407211303711,15.294707036111504,127.2864719631616,polar,manual,io,full,,,2,8,1
8,5.454685211181641,15.280725114047527,142.56845766305923,polar,manual,io,full,,,2,8,1
9,5.775386810302734,15.25607603113167,157.82611465011723,polar,manual,io,full,,,2,8,1
10,5.136733055114746,15.30578343803063,173.13293406902812,polar,manual,io,full,,,2,8,1
11,4.75068473815918,15.30212344811298,188.4361347691156,polar,manual,io,full,,,2,8,1
12,5.863471984863281,15.220279725035653,203.65729407407343,polar,manual,io,full,,,2,8,1
13,5.543910980224609,15.3091593880672,218.967677856097,polar,manual,io,full,,,2,8,1
14,5.322136878967285,15.304443719796836,234.27312224009074,polar,manual,io,full,,,2,8,1
15,5.894760608673096,15.222330878023058,249.49676578608342,polar,manual,io,full,,,2,8,1
16,4.230705261230469,15.371471261838451,264.869188784156,polar,manual,io,full,,,2,8,1
17,4.618200302124023,15.234991749981418,280.10497292201035,polar,manual,io,full,,,2,8,1
18,5.008399963378906,15.2366739269346,295.3426298419945,polar,manual,io,full,,,2,8,1
19,4.131279468536377,15.29895475320518,310.64273241208866,polar,manual,io,full,,,2,8,1
20,5.017394065856934,15.197613757103682,325.8419248391874,polar,manual,io,full,,,2,8,1
21,5.659282684326172,15.278054564958438,341.12126508401707,polar,manual,io,full,,,2,8,1
22,5.017744064331055,15.233046568930149,356.35566608211957,polar,manual,io,full,,,2,8,1
23,4.256606101989746,15.332665821071714,371.689945690101,polar,manual,io,full,,,2,8,1
24,3.52828311920166,15.468235999112949,387.159769481048,polar,manual,io,full,,,2,8,1
25,4.532496452331543,15.34549909713678,402.5067823450081,polar,manual,io,full,,,2,8,1
