step,loss,elapsed_s
1,132.6199188232422,12.363170623779297
2,56.90991973876953,20.2815101146698
4,60.375762939453125,36.1678307056427
6,35.58491516113281,51.92559504508972
8,66.30780029296875,67.83355402946472
10,49.10157012939453,83.64133358001709
12,30.465652465820312,99.43724036216736
14,25.569778442382812,115.29872632026672
16,22.99386215209961,131.1906065940857
18,21.624919891357422,147.2020001411438
20,20.86450958251953,163.01398921012878
22,20.748682022094727,178.9532926082611
24,20.462541580200195,194.68811917304993
