step,loss,elapsed_s
1,132.61990356445312,12.043834209442139
2,56.90996551513672,19.8928325176239
4,60.37684631347656,35.58269906044006
6,35.583351135253906,51.39625883102417
8,60.35791015625,67.05262398719788
10,28.806852340698242,82.68387913703918
12,26.5537166595459,98.28636765480042
14,26.700149536132812,113.88835000991821
16,23.902629852294922,129.73872661590576
18,22.185165405273438,145.38034653663635
20,21.24882698059082,161.04337859153748
22,20.39394760131836,176.69797897338867
24,19.228609085083008,192.28304886817932
